157077,1323612643,135.97417976,50.00000000,x
157138,1323642863,122.32606134,50.00000000,x
157235,1323706902,221.84649523,50.00000000,x
164382,1327840974,117.52500000,50.00000000,x
201731,1349310931,154.68299211,50.00000000,x
209782,1353996376,109.00334758,50.00000000,x
215936,1357787031,136.49075000,25.00000000,x
219303,1359843376,50.18711096,25.00000000,x
231856,1366223943,53.30810000,25.00000000,x
236502,1368734468,55.91389352,25.00000000,x
254642,1377684143,225.22600217,25.00000000,x
258546,1379451058,106.31862532,25.00000000,x
258555,1379455449,75.17993477,25.00000000,x
258562,1379458724,106.15901183,25.00000000,x
260343,1380252803,79.08455165,25.00000000,x
266309,1382852286,52.87941000,25.00000000,x
268184,1383709480,52.48043385,25.00000000,x
268305,1383770311,53.36897990,25.00000000,x
268529,1383908830,51.86521000,25.00000000,x
268567,1383932019,61.71549047,25.00000000,x
316112,1408292511,52.72536100,25.00000000,x
322621,1411716066,55.18210176,25.00000000,x
353672,1429979252,111.21369888,25.00000000,x
358850,1433096823,50.22041390,25.00000000,x
409008,1461677987,316.53275103,25.00000000,x
446633,1483557892,63.53767145,12.50000000,x
469057,1496238850,43.22128251,12.50000000,x
470189,1496836246,92.15735309,12.50000000,x
494045,1510445584,25.90062221,12.50000000,x
500439,1513882904,25.51404459,12.50000000,x
500521,1513933807,26.00566844,12.50000000,x
500539,1513948487,25.19557085,12.50000000,x
500546,1513951353,27.32150630,12.50000000,x
788695,1683493663,12.95074657,6.25000000,x
788700,1683497187,12.58947083,6.25000000,x
788702,1683497436,12.77943977,6.25000000,x
788760,1683526646,12.91298793,6.25000000,x
788762,1683528071,12.83654107,6.25000000,x
788763,1683528114,13.26575301,6.25000000,x
788764,1683529132,12.70767485,6.25000000,x
788766,1683533423,12.96661119,6.25000000,x
788792,1683549722,13.16405806,6.25000000,x
788795,1683550563,12.71290698,6.25000000,x
788799,1683554791,12.86848896,6.25000000,x
788806,1683558827,12.70020960,6.25000000,x
788833,1683575074,12.73217607,6.25000000,x
